Salary,Salary_list,Per,Lower,Upper
"$190,000 - $210,000 a year","['$190,000', '-', '$210,000', 'a', 'year']",year,190000,"['2', '1', '0', ',', '0', '0', '0']"
"$147,458 - $189,056 a year","['$147,458', '-', '$189,056', 'a', 'year']",year,147458,"['1', '8', '9', ',', '0', '5', '6']"
"$160,000 - $200,000 a year","['$160,000', '-', '$200,000', 'a', 'year']",year,160000,"['2', '0', '0', ',', '0', '0', '0']"
"$1,000 a month","['$1,000', 'a', 'month']",month,1000,
"Up to $150,000 a year","['Up', 'to', '$150,000', 'a', 'year']",year,Up,
"$73,973 - $112,240 a year","['$73,973', '-', '$112,240', 'a', 'year']",year,73973,"['1', '1', '2', ',', '2', '4', '0']"
"$51,102 - $81,263 a year","['$51,102', '-', '$81,263', 'a', 'year']",year,51102,"['8', '1', ',', '2', '6', '3']"
"$102,663 - $157,709 a year","['$102,663', '-', '$157,709', 'a', 'year']",year,102663,"['1', '5', '7', ',', '7', '0', '9']"
"$75,000 - $135,000 a year","['$75,000', '-', '$135,000', 'a', 'year']",year,75000,"['1', '3', '5', ',', '0', '0', '0']"
$21.22 an hour,"['$21.22', 'an', 'hour']",hour,2122,
"$60,000 - $65,000 a year","['$60,000', '-', '$65,000', 'a', 'year']",year,60000,"['6', '5', ',', '0', '0', '0']"
"$72,351 - $90,157 a year","['$72,351', '-', '$90,157', 'a', 'year']",year,72351,"['9', '0', ',', '1', '5', '7']"
"$72,351 - $90,157 a year","['$72,351', '-', '$90,157', 'a', 'year']",year,72351,"['9', '0', ',', '1', '5', '7']"
"$44,279 - $52,184 a year","['$44,279', '-', '$52,184', 'a', 'year']",year,44279,"['5', '2', ',', '1', '8', '4']"
$15 an hour,"['$15', 'an', 'hour']",hour,15,
"$150,000 - $200,000 a year","['$150,000', '-', '$200,000', 'a', 'year']",year,150000,"['2', '0', '0', ',', '0', '0', '0']"
"$67,968 - $126,062 a year","['$67,968', '-', '$126,062', 'a', 'year']",year,67968,"['1', '2', '6', ',', '0', '6', '2']"
$27.17 - $36.60 an hour,"['$27.17', '-', '$36.60', 'an', 'hour']",hour,2717,"['3', '6', '.', '6', '0']"
