Title,Lenght,Other
Data Scientist,3,['III']
Data Scientist,3,['Senior']
Data Scientist,6,"['Principal', 'Telco', 'Media', 'Entertainment']"
Data Scientist,4,"['Digital', 'Communications']"
Data Scientist,2,[]
Data Scientist Data,8,"['Content', 'Apple', 'Media', 'Products', 'Science']"
Data Scientist,3,['Senior']
Data Scientist,3,['III']
Data Scientist,2,[]
Data Scientist,7,"['Subscriptions', 'Marketing', 'Culver', 'City', 'CA']"
Data Scientist,8,"['App', 'Store', 'Marketing', 'Culver', 'City', 'CA']"
Data Scientist,3,['Principal']
Data Scientist,3,['Senior']
Data Scientist,2,[]
Data Scientist,4,"['Senior', 'Analyst']"
Data Scientist,3,['Sr']
Data Scientist,2,[]
Data Scientist,4,"['Nationwide', 'Opportunities']"
Data Scientist,8,"['App', 'Store', 'Arcade', 'Apple', 'Media', 'Products']"
Data Scientist,2,[]
Data Scientist,7,"['Product', 'Research', 'Apple', 'Media', 'Products']"
Data Scientist,9,"['Search', 'Apple', 'Media', 'Products', 'Culver', 'City', 'CA']"
Data Scientist,5,"['Epidemiologist', 'Activity', '2']"
Data Scientist,3,['Senior']
Data Scientist,3,['ARVR']
Data Scientist,2,[]
Data Scientist,3,['Senior']
Data Scientist,4,"['Research', 'Programmer']"
Data Scientist,3,['Senior']
Data Scientist,5,"['Consultant', 'Burbank', 'California']"
Data Scientist,4,"['Workforce', 'Analytics']"
Data Scientist,7,"['Sr', 'Predictive', 'Analysis', 'HBO', 'Max']"
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,5,"['Senior', 'Nationwide', 'Opportunities']"
Data Scientist,3,['II']
Data Scientist,3,['Senior']
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,4,"['Senior', 'Research']"
Data Scientist,2,[]
Data Scientist,3,['HCI']
Data Scientist,2,[]
Data Scientist,2,[]
Data Data Scientist,5,"['Engineer', 'Contributor']"
Data Scientist,5,"['Clinical', 'Quality', 'Analytics']"
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,3,['Senior']
Data Scientist,3,['Senior']
Data Scientist,3,['Senior']
Data Scientist,3,['Senior']
Data Scientist,2,[]
Data Scientist,4,"['Deep', 'Learning']"
Data Scientist,4,"['Nationwide', 'Opportunities']"
Data Scientist Data Scientist,6,"['Lead', 'Senior']"
Data Scientist,3,['Cybersecurity']
Data Scientist,7,"['ML', 'and', 'Image', 'Processing', '']"
Data Scientist,5,"['AppleCare', 'Business', 'Insight']"
Data Scientist,2,[]
Data Scientist Data,9,"['Testing', 'and', 'Measurement', 'Analyst', 'IV', '']"
Data Scientist,6,"['Lead', 'Secret', 'Clearance', 'Required']"
Data Scientist Data,8,"['Content', 'Apple', 'Media', 'Products', 'Science']"
Data Scientist,7,"['Senior', 'and', 'Machine', 'Learning', 'Expert']"
Data Scientist,2,[]
Data Scientist Data,5,"['Strategic', 'Solutions']"
Data Scientist,8,"['App', 'Store', 'Arcade', 'Apple', 'Media', 'Products']"
Data Scientist,7,"['Product', 'Research', 'Apple', 'Media', 'Products']"
Data Scientist,3,['AppleCare']
Data Scientist,6,"['Search', 'Apple', 'Media', 'Products']"
Data Scientist,3,['Sr']
Data Scientist,6,"['Operations', 'Research', 'Analyst', '']"
Data Scientist,3,['3']
Data Scientist,3,['Senior']
Data Scientist,4,"['Senior', 'Online']"
Data Scientist,3,['Lead']
Data Scientist,2,[]
Data Scientist,4,"['Nationwide', 'Opportunities']"
Data Scientist,5,"['Senior', 'Nationwide', 'Opportunities']"
Data Scientist,7,"['AMP', 'Commerce', 'Payments', 'Subscription', 'Analytics']"
Data Scientist,3,['Senior']
Data Scientist,5,"['Marketing', 'Analytics', '']"
Data Scientist,6,"['Geospatial', 'Software', 'Developer', 'and']"
Data Scientist,4,"['Remote', 'Sensing']"
Data Scientist,2,[]
Data Scientist,3,['Senior']
Data Scientist,2,[]
Data Scientist,3,['Principal']
Data Scientist,3,['Lead']
Data Scientist,5,"['Machine', 'Learning', 'Expert']"
Data Scientist,5,"['E', '09', '311']"
Data Scientist,4,"['Junior', 'Temporary']"
Data Scientist,2,[]
Data Scientist,3,['Sr']
Data Scientist,2,[]
Data Scientist,3,['Senior']
Data Scientist,5,"['Analyst', 'Government', 'Projects']"
Data Scientist,2,[]
Data Scientist,3,['Sr']
Data Scientist,5,"['Aviation', 'AI', 'ML']"
Data Scientist,2,[]
Data Scientist,3,['Sr']
Data Scientist,2,[]
Data Scientist,5,"['TS', 'SCI', '']"
Data Scientist,2,[]
Data Scientist,3,['Engineer']
Data Scientist,8,"['Aviation', 'FOQA', 'Sr', 'Computer', 'Science', 'Math']"
