index,location,Actual_jobs,Actual_jobs_first
2003,"Fort Macleod, AB",24,2
1909,"Crossfield, AB",24,2
595,"Mont-Joli, QC",23,2
1729,"Val Caron, ON",23,2
75,"Montague, PE",23,2
107,"Wolfville, NS",23,2
1428,"Bancroft, ON",23,2
1292,"The Blue Mountains, ON",22,2
1353,"Aylmer, ON",22,2
536,"Saint-Félicien, QC",22,2
1325,"Blenheim, ON",22,2
622,"Haileybury, ON",22,2
1271,"Wasaga Beach, ON",22,2
1530,"Espanola, ON",22,2
110,"Windsor, NS",22,2
1775,"Port Elgin, ON",22,2
1526,"Elliot Lake, ON",22,2
2261,"Enderby, BC",22,2
159,"Middleton, NS",22,2
1884,"Blackfalds, AB",22,2
2283,"Gibsons, BC",22,2
2244,"Sidney, BC",22,2
1209,"York University (Keele campus), ON",21,2
224,"Lunenburg, NS",21,2
526,"L'Île-Perrot, QC",21,2
1296,"Thornbury, ON",21,2
663,"Saint-joseph-de-beauce, QC",21,2
579,"Vanier, QC",21,2
1901,"Red Deer County, AB",20,2
258,"Shelburne, NS",20,2
334,"Amqui, QC",20,2
1351,"Keswick, ON",20,2
1550,"Blue Mountains, ON",20,2
2203,"Beaverlodge, AB",20,2
576,"Malartic, QC",20,2
1964,"Vegreville, AB",20,2
1557,"Markdale, ON",20,2
315,"Bonaventure, QC",20,2
354,"Bas-Saint-Laurent, QC",19,1
1233,"Welland, ON",19,1
648,"Pierrefonds, QC",19,1
1599,"Durham, ON",19,1
95,"Stellarton, NS",19,1
802,"Hull, QC",19,1
2380,"Field, BC",19,1
706,"Beauce, QC",19,1
1871,"St. Marys, ON",19,1
1264,"Durham Region, ON",19,1
811,"Gloucester, ON",19,1
675,"Saint-Anselme, QC",19,1
1569,"Meaford, ON",19,1
2197,"Clairmont, AB",19,1
2243,"Pitt Meadows, BC",19,1
987,"Outaouais, QC",19,1
615,"Coteau-du-Lac, QC",19,1
1436,"Lakefield, ON",19,1
2002,"Coaldale, AB",19,1
778,"Yamachiche, QC",19,1
988,"Deep River, ON",19,1
2465,"Hay River, NT",19,1
2107,"Grimshaw, AB",19,1
1553,"Tiverton, ON",19,1
2245,"Port Moody, BC",19,1
1083,"Bourgeoys, QC",18,1
1063,"Côte-Nord, QC",18,1
1246,"Niagara-on-the-Lake, ON",18,1
1255,"Port Hope, ON",18,1
2024,"Drumheller, AB",18,1
2420,"Port McNeill, BC",18,1
985,"Chalk River, ON",18,1
2199,"Sexsmith, AB",18,1
22,"Bouctouche, NB",18,1
1601,"Palmerston, ON",18,1
728,"Saint-lambert-de-lauzon, QC",18,1
827,"Saint-André-Avellin, QC",18,1
2431,"Mill Bay, BC",18,1
525,"Senneville, QC",18,1
529,"L'Assomption, QC",18,1
476,"Mont-Saint-Hilaire, QC",18,1
1798,"Hearst, ON",18,1
2128,"Smoky Lake, AB",17,1
558,Quebec Province,17,1
2299,"Cumberland, BC",17,1
2239,"Metro Vancouver Regional District, BC",17,1
227,"Hammonds Plains, NS",17,1
2241,"West Vancouver, BC",17,1
1229,"Stoney Creek, ON",17,1
2247,"Tsawwassen, BC",17,1
489,"Saint-Mathieu-de-Beloeil, QC",17,1
5,"Kensington, PE",17,1
1453,"Lawrence, ON",17,1
2390,"Summerland, BC",17,1
763,"Bécancour, QC",17,1
442,"Chambly, QC",17,1
2404,"Princeton, BC",17,1
826,"Kemptville, ON",17,1
715,"Sainte-Marie-De-Beauce, QC",17,1
1591,"Arthur, ON",16,1
2440,"Houston, BC",16,1
455,"Saint-leonard, QC",16,1
1616,"Huron, ON",16,1
1894,"Didsbury, AB",16,1
115,"Sackville, NB",16,1
1322,"Oldcastle, ON",16,1
623,"Ville-Marie, QC",16,1
1725,"Chelmsford, ON",16,1
1221,"Thornhill, ON",16,1
1326,"Harrow, ON",16,1
1505,"Gananoque, ON",16,1
1395,"Seaforth, ON",16,1
1847,"Red Lake, ON",16,1
742,"Nicolet, QC",16,1
861,"Saint-Charles-Borromée, QC",16,1
1274,"Halton Hills, ON",16,1
848,"Port-Cartier, QC",16,1
1961,"Boyle, AB",15,1
452,"Lasalle, QC",15,1
1952,"Acheson, AB",15,1
303,"Tracadie, NB",15,1
427,"Montérégie, QC",15,1
545,"Dolbeau-mistassini, QC",15,1
799,"Cantley, QC",15,1
645,"Montreal-nord, QC",15,1
1524,"Little Current, ON",15,1
1336,"Wallaceburg, ON",15,1
2001,"Picture Butte, AB",15,1
1912,Alberta,15,1
2381,"Radium Hot Springs, BC",15,1
1502,"Brighton, ON",15,1
1106,"Morin-heights, QC",15,1
