index,location,Actual_jobs,Actual_jobs_first
1057,"Orléanais, QC",2,2
1134,"Saint-pierre-de-broughton, QC",2,2
1133,"Notre-dame-des-pins, QC",2,2
1129,"Shenley, QC",2,2
604,"St-Valérien, QC",2,2
602,"Les Mechins, QC",2,2
1125,"Saint-Romain, QC",2,2
589,"Lebel-sur-quevillon, QC",2,2
1066,"Riviere-au-Renard, QC",2,2
1121,"Saint-honore-de-shenley, QC",2,2
1067,"Saint-Pie, QC",2,2
1116,"Lac-des-ecorces, QC",2,2
600,"Courcelette, QC",2,2
1112,"Plaisance, QC",2,2
1111,"Saint-donat-de-montcalm, QC",2,2
1072,"Grenville-sur-la-Rouge, QC",2,2
1110,"Saint-Donat, QC",2,2
1107,"Montebello, QC",2,2
1075,"Henryville, QC",2,2
1077,"Howick, QC",2,2
593,"Villebois, QC",2,2
1103,"Val-morin, QC",2,2
1102,"Gouin, QC",2,2
1100,"Lambton, QC",2,2
1098,"L'isle-aux-grues, QC",2,2
1097,"Flower's Cove, NL",2,2
1087,"Sainte-Christine-d'Auvergne, QC",2,2
1091,"Saint-Faustin, QC",2,2
1135,"Beaulac-garthby, QC",2,2
1052,"Joly, QC",2,2
533,"Sainte-monique-lac-saint-jean, QC",2,2
1050,"Aux, QC",2,2
979,"Les Îles-de-la-Madeleine, QC",2,2
613,"Sayabec, QC",2,2
534,"Saint-Gédéon, QC",2,2
999,"Dunrobin, ON",2,2
549,"Saint-Stanislas, QC",2,2
556,"Bourget, QC",2,2
570,"Abitibi, QC",2,2
575,"Clermont, QC",2,2
1202,"Verner, ON",2,2
1201,"Callander, ON",2,2
1017,"Dorion, QC",2,2
1196,"Powassan, ON",2,2
1194,"Deux-Rivières, ON",2,2
1021,"Fort-coulonge, QC",2,2
1182,"Lancaster, ON",2,2
1026,"Chénéville, QC",2,2
1181,"Metcalfe, ON",2,2
1173,"Bourassa, QC",2,2
587,"Taschereau, QC",2,2
1033,"Laval-ouest, QC",2,2
611,"Godbout, QC",2,2
1036,"Saint-Nicéphore, QC",2,2
1040,"Sainte-Anne, QC",2,2
608,"Saint-gabriel-de-rimouski, QC",2,2
1150,"Saint-Éphrem-de-Beauce, QC",2,2
1147,"Saint-robert-bellarmin, QC",2,2
1146,"Saint-Frédéric, QC",2,2
844,"Sherrington, QC",2,2
1088,"Matawin, QC",2,2
1449,"Hastings, ON",2,2
1499,"Inverary, ON",2,2
809,"Greely, ON",2,2
1469,"Bridgenorth, ON",2,2
791,"Les Cedres, QC",2,2
1422,"Thedford, ON",2,2
810,"Winchester, ON",2,2
1519,"Bath, ON",2,2
703,"Neuville, QC",2,2
736,"Rockland, QC",2,2
393,"Saint Stephen, NB",2,2
1452,"Frankford, ON",2,2
1414,"Glencoe, ON",2,2
1415,"New Dundee, ON",2,2
1516,"Odessa, ON",2,2
1439,"Trent Hills, ON",2,2
732,"Sainte Catherine de la Jacques Cartier, QC",2,2
779,"Saint-Gilbert, QC",2,2
1512,"Cavan, ON",2,2
698,"Saint-pacome, QC",2,2
702,"Saint-vallier, QC",2,2
1511,"Millbrook, ON",2,2
724,"Chateau-richer, QC",2,2
730,"Saint-jacques-de-leeds, QC",2,2
795,"Saint-Henri, QC",2,2
820,"Vanier, ON",2,2
769,"Estrie, QC",2,2
1402,"Hyde Park, ON",2,2
712,"Lac-beauport, QC",2,2
1462,"Northbrook, ON",2,2
748,"Villeroy, QC",2,2
1531,"Mckerrow, ON",2,2
837,"L'ile-bizard, QC",2,2
707,"Saint-Michel-de-Bellechasse, QC",2,2
398,"Belleisle Creek, NB",2,2
1463,"Havelock-Belmont-Methuen, ON",2,2
808,"Carlsbad Springs, ON",2,2
1427,"Dorchester, ON",2,2
789,"Auteuil, QC",2,2
1529,"May, ON",2,2
829,"Bells Corners, ON",2,2
747,"Lac-a-la-tortue, QC",2,2
1532,"Jasper, ON",2,2
1488,"Utopia, ON",2,2
1413,"Nanticoke, ON",2,2
2136,"Paradise Hill, SK",1,1
1022,"Mansfield-et-Pontefract, QC",1,1
2155,"Glenevis, AB",1,1
2160,"Gunn, AB",1,1
727,"Saint-ferreol-les-neiges, QC",1,1
2157,"Fallis, AB",1,1
2138,"Vawn, SK",1,1
2158,"Pembina, AB",1,1
2159,"Neerlandia, AB",1,1
2437,"Thompson, BC",1,1
19,"Bloomfield Station, PE",1,1
776,"Hatley, QC",1,1
1023,"Kinburn, ON",1,1
21,"Elmsdale, PE",1,1
2143,"Turtleford, SK",1,1
1035,"Saint-Charles-de-Drummond, QC",1,1
2151,"Brownvale, AB",1,1
2150,"Dixonville, AB",1,1
1027,"Vaudreuil-Soulanges, QC",1,1
2442,"Telkwa, BC",1,1
775,"Maskinonge, QC",1,1
1028,"Brigham, QC",1,1
1020,"Golden Lake, ON",1,1
1031,"Isle-Dieu, QC",1,1
2145,"Cut Knife, SK",1,1
1032,"Sainte-Marthe-sur-le-Lac, QC",1,1
2144,"Myrnam, AB",1,1
174,"Bloomfield, NB",1,1
2373,"Salt Spring Island, BC",1,1
2162,"Darwell, AB",1,1
1002,"Wilberforce, ON",1,1
2179,"Acadia Valley, AB",1,1
2180,"Empress, AB",1,1
1007,"Wabash, QC",1,1
2428,"Hixon, BC",1,1
167,"Queens, NS",1,1
2183,"Eatonia, SK",1,1
1005,"Combermere, ON",1,1
2185,"Unity, SK",1,1
785,"Cleveland, QC",1,1
168,"Nauwigewauk, NB",1,1
2188,"Benalto, AB",1,1
2189,"Kneehill County, AB",1,1
2190,"Lacombe County, AB",1,1
2191,"James River Bridge, AB",1,1
2192,"Mulhurst, AB",1,1
2193,"Lodge, AB",1,1
2194,"Alhambra, AB",1,1
2195,"Springbrook, AB",1,1
1009,"Master, ON",1,1
2176,"Tofield, AB",1,1
2163,"Spring Lake, AB",1,1
784,"Sainte-Perpétue, QC",1,1
1019,"Beachburg, ON",1,1
781,"Daveluyville, QC",1,1
782,"Saint-Albert, QC",1,1
1018,"Gracefield, QC",1,1
169,"Wileville, NS",1,1
177,"Annapolis, NS",1,1
783,"Yamaska, QC",1,1
2432,"Port Edward, BC",1,1
2168,"Foremost, AB",1,1
1011,"Haley Station, ON",1,1
1016,"South Algonquin, ON",1,1
27,"Cocagne, NB",1,1
2170,"Irvine, AB",1,1
2429,"Bridge, BC",1,1
1014,"Sainte-cecile-de-masham, QC",1,1
1013,"Indian, ON",1,1
1012,"Sainte-Cécile-de-Masham, QC",1,1
2174,"Elkwater, AB",1,1
176,"Titusville, NB",1,1
2122,"Delacour, AB",1,1
2133,"Spedden, AB",1,1
193,"Meteghan Centre, NS",1,1
1074,"Hemmingford, QC",1,1
2075,"Lumberton, BC",1,1
1073,"Monkland, QC",1,1
10,"Richmond, PE",1,1
2077,"Skookumchuck, BC",1,1
2078,"Jaffray, BC",1,1
2079,"Grasmere, BC",1,1
2463,"Carcross, YT",1,1
751,"Notre-Dame-du-Bon-Conseil, QC",1,1
734,"Saint-Casimir, QC",1,1
1070,"Saint-Valérien-de-Milton, QC",1,1
1069,"Notre-Dame, QC",1,1
1068,"Sainte-Angèle-de-Monnoir, QC",1,1
2085,"Evansburg, AB",1,1
2086,"Buck Lake, AB",1,1
2459,"Granville, YT",1,1
2088,"Wildwood, AB",1,1
194,"Bedford, NB",1,1
733,"Cap-rouge, QC",1,1
8,"Miminegash, PE",1,1
1076,"Saint-Ignace-de-Stanbridge, QC",1,1
750,"Saint-Wenceslas, QC",1,1
200,"Judique, NS",1,1
2055,"Carseland, AB",1,1
1085,"Langelier, QC",1,1
1084,"La Croche, QC",1,1
599,"Le Bic, QC",1,1
2059,"Lomond, AB",1,1
2060,"Greenview, AB",1,1
1082,"Pierreville, QC",1,1
1081,"Chertsey, QC",1,1
2064,"Sputinow, AB",1,1
2467,"Aklavik, NT",1,1
1079,"Saint-Urbain-Premier, QC",1,1
2066,"Onion Lake, SK",1,1
2067,"Dewberry, AB",1,1
2469,"Tulita, NT",1,1
2068,"La Corey, AB",1,1
2069,"Loon Lake, SK",1,1
739,"Lanoraie, QC",1,1
2070,"Glendon, AB",1,1
2456,"One Hundred Mile House, BC",1,1
2455,"Forest Grove, BC",1,1
2132,"Wandering River, AB",1,1
192,"S Lake, NS",1,1
2115,"Kinuso, AB",1,1
2116,"Widewater, AB",1,1
183,"Maces Bay, NB",1,1
771,"Lawrenceville, QC",1,1
1049,"Lac-Saint-Paul, QC",1,1
1047,"Namur, QC",1,1
2121,"Cadomin, AB",1,1
772,"Saint-Eugène, QC",1,1
994,"Pine Valley, ON",1,1
1046,"French, QC",1,1
17,"Ellerslie, PE",1,1
2445,"Kitsumkalum, BC",1,1
610,"Pointe-aux-outardes, QC",1,1
773,"Wotton, QC",1,1
2127,"Caslan, AB",1,1
178,"Auburndale, NS",1,1
1037,"D'Alembert, QC",1,1
2130,"Vilna, AB",1,1
2131,"Waskatenau, AB",1,1
1051,"Nominingue, QC",1,1
2113,"Wagner, AB",1,1
2112,"Girouxville, AB",1,1
188,"Bear River, NS",1,1
1062,"Boily, QC",1,1
190,"Calders Head, NB",1,1
1058,"Val-des-Bois, QC",1,1
731,"Saint-omer, QC",1,1
2098,"Edgerton, AB",1,1
2452,"Black Creek, BC",1,1
729,"Inverness, QC",1,1
189,"Saint John West, NB",1,1
1056,"By, QC",1,1
2111,"Debolt, AB",1,1
1055,"Villeneuve, QC",1,1
185,"Gagetown, NB",1,1
1054,"Saint-emile-de-suffolk, QC",1,1
1053,"Mont-Saint-Michel, QC",1,1
184,"Hibernia Cove, NB",1,1
2108,"Nampa, AB",1,1
2109,"Eaglesham, AB",1,1
2449,"Gitwinksihlkw, BC",1,1
612,"Saint-anaclet, QC",1,1
2210,"Bay Tree, AB",1,1
725,"Saint-Léon-de-Standon, QC",1,1
878,"Saint-ours, QC",1,1
888,"Sainte-Victoire-de-Sorel, QC",1,1
887,"Saint-Alexis, QC",1,1
2312,"Thurlow, BC",1,1
818,"Bayshore, ON",1,1
2313,"Roy, BC",1,1
69,"Slemon Park, PE",1,1
2315,"Gillies Bay, BC",1,1
68,"Victoria, PE",1,1
886,"Saint-François-du-Lac, QC",1,1
884,"Lotbiniere, QC",1,1
883,"Lanaudière, QC",1,1
882,"Des Ormeaux, QC",1,1
2321,"Brilliant, BC",1,1
65,"Sainte-marie-de-kent, NB",1,1
63,"East Wiltshire, PE",1,1
2387,"Okanagan-Similkameen D, BC",1,1
2325,"Balfour, BC",1,1
2326,"Montrose, BC",1,1
880,"Saint-Alexis-des-Monts, QC",1,1
817,"Westboro, ON",1,1
2308,"French Creek, BC",1,1
699,"Shannon, QC",1,1
72,"New Jersey, NB",1,1
2396,"Logan Lake, BC",1,1
80,"Brooklyn, PE",1,1
899,"Sainte-Eulalie, QC",1,1
78,"Southampton, PE",1,1
77,"Georgetown, PE",1,1
897,"Sainte-victoire-de-sorel, QC",1,1
74,"Coburg, NB",1,1
73,"Brackley Beach, PE",1,1
896,"Saint-Pie-de-Guire, QC",1,1
2307,"Sayward, BC",1,1
71,"Elsipogtog First Nation, NB",1,1
895,"Pont-Rouge, QC",1,1
2301,"Egmont, BC",1,1
2302,"Deep Bay, BC",1,1
894,"Saint-Jean-de-Matha, QC",1,1
893,"L'avenir, QC",1,1
891,"Saint-Paulin, QC",1,1
655,"Ahuntsic, QC",1,1
62,"Robichaud, NB",1,1
2332,"Crescent Valley, BC",1,1
2397,"Darfield, BC",1,1
2333,"Robson, BC",1,1
857,"Saint-Majorique, QC",1,1
2357,"Oak Bay, BC",1,1
48,"Newton, PE",1,1
56,"Green Gables, PE",1,1
672,"Saint-jean-d'orleans, QC",1,1
54,"Tracadie, PE",1,1
689,"Boischatel, QC",1,1
2363,"Bear Flat, BC",1,1
2377,"Langdale, BC",1,1
51,"Petit-Cap, NB",1,1
683,"Sainte-croix, QC",1,1
2367,"Charlie Lake, BC",1,1
684,"Armagh, QC",1,1
2369,"Valley View, BC",1,1
840,"Saint-clet, QC",1,1
2370,"Baldonnel, BC",1,1
2371,"Demmitt, AB",1,1
842,"Vaudreuil-sur-le-lac, QC",1,1
2374,"Prophet River, BC",1,1
47,"Union Road, PE",1,1
660,"Saint-hugues, QC",1,1
46,"Freetown, PE",1,1
2342,"Harrison Mills, BC",1,1
876,"Masson, QC",1,1
2335,"Kitchener, BC",1,1
874,"Vercheres, QC",1,1
2337,"Kootenay Bay, BC",1,1
872,"Saint-Élie-de-Caxton, QC",1,1
2339,"Rock Creek, BC",1,1
2340,"Kootenay, BC",1,1
871,"Saint-Paul, QC",1,1
2343,"Tulameen, BC",1,1
2353,"Royal Oak, BC",1,1
2344,"Lindell Beach, BC",1,1
61,"Lutes Mountain, NB",1,1
60,"Notre-Dame, NB",1,1
868,"Sainte-Thècle, QC",1,1
59,"Indian Mountain, NB",1,1
821,"Hammond, ON",1,1
691,"Saint-antoine-de-tilly, QC",1,1
58,"Lakeville, NB",1,1
901,"Saint-Joseph-de-Sorel, QC",1,1
902,"Saint-barthelemy, QC",1,1
991,"Fort-Coulonge, QC",1,1
939,"Saint-Louis-de-France, QC",1,1
33,"Haute-aboujagane, NB",1,1
140,"Tatamagouche, NS",1,1
2226,"Dewdney, BC",1,1
139,"Westmorland, NB",1,1
138,"Salisbury, NB",1,1
137,"Pugwash, NS",1,1
634,"Saint-Urbain, QC",1,1
793,"Alfred, ON",1,1
2419,"Gabriola, BC",1,1
951,"North Gower, ON",1,1
2418,"Nanoose, BC",1,1
133,"Cornhill, NB",1,1
950,"Vankleek Hill, ON",1,1
130,"Upper Brookside, NS",1,1
129,"Dorchester, NB",1,1
128,"Earltown, NS",1,1
2417,"Port Renfrew, BC",1,1
943,"Sawyerville, QC",1,1
126,"Avonport, NS",1,1
2423,"Tahsis, BC",1,1
2221,"Lac Ste. Anne County, AB",1,1
2424,"Telegraph Cove, BC",1,1
973,"Baie-Sainte-Catherine, QC",1,1
2200,"Dimsdale, AB",1,1
627,"Saint-Bruno-de-Guigues, QC",1,1
980,"L'Étang-du-Nord, QC",1,1
2204,"Silver Valley, AB",1,1
976,"La Rivière, QC",1,1
975,"Saint-isidore-de-laprairie, QC",1,1
2207,"La Glace, AB",1,1
630,"Cobalt, ON",1,1
2211,"Pouce Coupe, BC",1,1
2220,"Westlock County, AB",1,1
154,"Clementsport, NS",1,1
972,"Saint-Fabien, QC",1,1
971,"Saint-Mathieu-de-Rioux, QC",1,1
970,"Grandes-bergeronnes, QC",1,1
969,"Sacré-Coeur, QC",1,1
967,"Saint-denis-de-la-bouteillerie, QC",1,1
2218,"Fox Creek, AB",1,1
2219,"New Sarepta, AB",1,1
942,"Westbury, QC",1,1
36,"Fernwood, PE",1,1
2285,"West End, BC",1,1
2413,"Vancouver Island, BC",1,1
92,"Vernon River, PE",1,1
711,"Saint-neree, QC",1,1
90,"Malagash, NS",1,1
917,"Beaumont, QC",1,1
915,"Scott, QC",1,1
2272,"Westwold, BC",1,1
2273,"Rutland, BC",1,1
710,"Saint-sylvestre, QC",1,1
653,"Saint-François, QC",1,1
2402,"North Delta, BC",1,1
910,"Destor, QC",1,1
2401,"Murrayville, BC",1,1
2278,"Gellatly, BC",1,1
654,"Cartierville, QC",1,1
2280,"Monte Lake, BC",1,1
905,"Ivry-sur-le-Lac, QC",1,1
84,"Murray Harbour, PE",1,1
2398,"Walhachin, BC",1,1
903,"Notre-Dame-de-Lourdes, QC",1,1
2266,"Fintry, BC",1,1
2406,"Copper Mountain, BC",1,1
921,"Lac Constance, QC",1,1
716,"Saint-Rédempteur, QC",1,1
118,"Chignecto, NS",1,1
2248,"Walnut Grove, BC",1,1
117,"Petitcodiac, NB",1,1
935,"Lac-Brome, QC",1,1
2412,"Sunshine Coast, BC",1,1
2251,"Saltspring Island, BC",1,1
641,"Temagami, ON",1,1
719,"Saint-Nérée-de-Bellechasse, QC",1,1
2409,"Cedar, BC",1,1
1089,"Lac-aux-sables, QC",1,1
930,"Mont-Sainte-Anne, QC",1,1
929,"Saint-Janvier, QC",1,1
2408,"Chase River, BC",1,1
926,"Saint-Dominique, QC",1,1
925,"Sainte-Anne-de-Sorel, QC",1,1
924,"Saint-jean-baptiste, QC",1,1
923,"Otterburn Park, QC",1,1
2407,"North Bend, BC",1,1
1539,"M'chigeeng, ON",1,1
2006,"Lamont County, AB",1,1
1090,"Riviere-a-pierre, QC",1,1
323,"Baie-sainte-anne, NB",1,1
328,"Carleton-sur-Mer, QC",1,1
327,"New Carlisle, QC",1,1
408,"Sussex East, NB",1,1
409,"Four Corners, NB",1,1
1355,"Centralia, ON",1,1
410,"Fredericton Junction, NB",1,1
411,"Dow Settlement, NB",1,1
1711,"Fournier, ON",1,1
1712,"Bristol, ON",1,1
1713,"St. John, ON",1,1
1714,"Devonshire, ON",1,1
1715,"Abbotsford, ON",1,1
1352,"Churchill, ON",1,1
1717,"Crawford, ON",1,1
412,"Elmsville, NB",1,1
1719,"Torrance, ON",1,1
1350,"River Drive Park, ON",1,1
1721,"Williamstown, ON",1,1
1722,"Plantagenet, ON",1,1
1348,"Stoney Point/Pointe-aux-Roches, ON",1,1
1724,"South Glengarry, ON",1,1
1346,"East Windsor, ON",1,1
324,"Benoit, NB",1,1
1703,"Fenwick, ON",1,1
1702,"Stevensville, ON",1,1
329,"New-Richmond, QC",1,1
1373,"Langton, ON",1,1
1674,"Ashton, ON",1,1
1387,"Vienna, ON",1,1
1386,"Norfolk County, ON",1,1
401,"Hartford, NB",1,1
1384,"Ohsweken, ON",1,1
1380,"Warwick, ON",1,1
402,"Nasonworth, NB",1,1
1682,"Plattsville, ON",1,1
1377,"Erie, ON",1,1
403,"Bath, NB",1,1
1686,"Morewood, ON",1,1
407,"Old Ridge, NB",1,1
404,"Bristol, NB",1,1
1691,"Wallacetown, ON",1,1
1692,"Comber, ON",1,1
1693,"Rodney, ON",1,1
1694,"Carlisle, ON",1,1
1695,"Wyoming, ON",1,1
1696,"Orono, ON",1,1
1697,"Clarington, ON",1,1
406,"Evandale, NB",1,1
1699,"St. Davids, ON",1,1
1344,"Mooretown, ON",1,1
1343,"Pelee Island, ON",1,1
306,"Saint-Simon, NB",1,1
1342,"Mcgregor, ON",1,1
1764,"Matachewan, ON",1,1
1766,"Alma, ON",1,1
1767,"East Garafraxa, ON",1,1
1307,"Cheltenham, ON",1,1
311,"Bertrand, NB",1,1
1304,"Alton, ON",1,1
444,"Fulford, QC",1,1
1773,"Wood, ON",1,1
1774,"Garden Village, ON",1,1
445,"Bolton-est, QC",1,1
1300,"Rexdale, ON",1,1
1778,"Petersburg, ON",1,1
1779,"Wikwemikong, ON",1,1
453,"Eastman, QC",1,1
1293,"Belfountain, ON",1,1
1783,"Leduc, ON",1,1
478,"Rougemont, QC",1,1
1785,"Beardmore, ON",1,1
308,"Grande-Anse, NB",1,1
1287,"Sharon, ON",1,1
1790,"Vineland Station, ON",1,1
1792,"Guelph/Eramosa, ON",1,1
1281,"Rosemont, ON",1,1
1310,"Maxwell, ON",1,1
1761,"Lowbanks, ON",1,1
1311,"Tiny, ON",1,1
1324,"Troy, ON",1,1
322,"Lamèque, NB",1,1
1338,"Kent Bridge, ON",1,1
320,"Eel Ground, NB",1,1
413,"Saint-andré, NB",1,1
1334,"Union, ON",1,1
1738,"Naughton, ON",1,1
1330,"Cottam, ON",1,1
415,"Geary, NB",1,1
416,"Hersonville, NB",1,1
417,"Aulac, NB",1,1
1746,"Henvey Inlet 2, ON",1,1
1312,"Campbellville, ON",1,1
1747,"Alban, ON",1,1
419,"Back Bay, NB",1,1
420,"Lord's Cove, NB",1,1
421,"Lambert's Cove, NB",1,1
1751,"Markstay, ON",1,1
422,"Cummings Cove, NB",1,1
1753,"Travers, ON",1,1
423,"Burpee, NB",1,1
1313,"Loretto, ON",1,1
1758,"Lac Seul, ON",1,1
1389,"Delaware, ON",1,1
1672,"Merrickville, ON",1,1
1390,"Beachville, ON",1,1
1669,"Iroquois, ON",1,1
1576,"Lake Simcoe, ON",1,1
1496,"Seeleys Bay, ON",1,1
379,"Lake Utopia, NB",1,1
383,"Waterville, NB",1,1
384,"Northampton, NB",1,1
386,"Lower St Marys, NB",1,1
1482,"Queensborough, ON",1,1
1481,"Tamworth, ON",1,1
1480,"Whitney, ON",1,1
1479,"Stirling-Rawdon, ON",1,1
1478,"Ennismore, ON",1,1
1476,"Blue Mountain, ON",1,1
1475,"Lake of Bays, ON",1,1
1590,"Gilford, ON",1,1
387,"New Bandon, NB",1,1
1473,"Curve Lake, ON",1,1
1470,"Burleigh Falls, ON",1,1
1468,"Youngs Point, ON",1,1
1467,"Foxboro, ON",1,1
1466,"Woodview, ON",1,1
1465,"Dysart, ON",1,1
1461,"Douro, ON",1,1
1602,"Elmwood, ON",1,1
377,"Wilmot, NB",1,1
1498,"Shannonville, ON",1,1
356,"Esprit-saint, QC",1,1
1517,"Camden East, ON",1,1
1542,"Nairn and Hyman, ON",1,1
1544,"Thompson, ON",1,1
1546,"Meldrum Bay, ON",1,1
1548,"Richards Landing, ON",1,1
1523,"Glenburnie, ON",1,1
1522,"Leeds, ON",1,1
365,"Saint-jean-de-dieu, QC",1,1
1521,"Baltimore, ON",1,1
1520,"Castleton, ON",1,1
1518,"Elginburg, ON",1,1
362,"Lac-des-aigles, QC",1,1
1506,"Cannifton, ON",1,1
1558,"Annan, ON",1,1
361,"Pohenegamook, QC",1,1
1515,"Omemee, ON",1,1
1562,"Holland Centre, ON",1,1
1514,"Ameliasburgh, ON",1,1
1566,"Hepworth, ON",1,1
359,"Enterprise, NB",1,1
1510,"Westport, ON",1,1
1507,"Demorestville, ON",1,1
357,"California Settlement, NB",1,1
1603,"Lefroy, ON",1,1
1604,"Ayton, ON",1,1
1458,"Mathers Corners, ON",1,1
1652,"Kearney, ON",1,1
1421,"Waterford, ON",1,1
1641,"Kirkfield, ON",1,1
1420,"Mount Elgin, ON",1,1
1417,"Doon, ON",1,1
1644,"Cannington, ON",1,1
1416,"Brownsville, ON",1,1
1648,"Port Sydney, ON",1,1
1649,"Zephyr, ON",1,1
1650,"Rama Road, ON",1,1
1651,"Hillsdale, ON",1,1
1412,"Mount Hope, ON",1,1
1638,"Rama, ON",1,1
1410,"Highgate, ON",1,1
1407,"Dublin, ON",1,1
1406,"Wallenstein, ON",1,1
1658,"Wooler, ON",1,1
1405,"Oxford, ON",1,1
1660,"Lansdowne, ON",1,1
1404,"Thamesford, ON",1,1
1664,"Delta, ON",1,1
1399,"Kirkton, ON",1,1
1668,"Merrickville-Wolford, ON",1,1
1639,"Reaboro, ON",1,1
1636,"Sundridge, ON",1,1
1607,"Virginia, ON",1,1
394,"Sussex Area, NB",1,1
389,"Hazelton, NB",1,1
1447,"Cardiff, ON",1,1
1611,"Victoria Harbour, ON",1,1
1446,"Selwyn, ON",1,1
1613,"Warminster, ON",1,1
1614,"Chatsworth, ON",1,1
1442,"Plainfield, ON",1,1
391,"French Village-york, NB",1,1
342,"Drummond, NB",1,1
1620,"Huron East, ON",1,1
1622,"Huron Park, ON",1,1
1423,"Washington, ON",1,1
395,"Lincoln, NB",1,1
397,"Richibucto Road, NB",1,1
1626,"Brechin, ON",1,1
1426,"Galt, ON",1,1
1629,"Magnetawan, ON",1,1
1425,"Townsend, ON",1,1
1424,"Watford, ON",1,1
1632,"Dunchurch, ON",1,1
1633,"Strong, ON",1,1
1634,"Mckellar, ON",1,1
1794,"Hannon, ON",1,1
484,"Roxton Pond, QC",1,1
2050,"De Winton, AB",1,1
1979,"North Edmonton, AB",1,1
247,"Kings, Subd. A, NS",1,1
588,"Sainte-Germaine-Boulé, QC",1,1
1156,"Maliotenam, QC",1,1
1154,"Canal de la Rive Sud, QC",1,1
1956,"Newbrook, AB",1,1
1151,"Grand-remous, QC",1,1
1149,"La Durantaye, QC",1,1
243,"Goffs, NS",1,1
241,"Head Of St Margarets Bay, NS",1,1
1145,"Saint-Évariste, QC",1,1
1965,"Tawatinaw, AB",1,1
1966,"Ardrossan, AB",1,1
1143,"Saint-Honoré-de-Shenley, QC",1,1
1142,"Saint-Ferdinand, QC",1,1
1969,"Mundare, AB",1,1
1970,"Leduc County, AB",1,1
1971,"Sturgeon, AB",1,1
1141,"Saint-Séverin, QC",1,1
1140,"Sainte-henedine, QC",1,1
1139,"Sainte-lucie-de-beauregard, QC",1,1
1138,"Marbleton, QC",1,1
1976,"Lamont, AB",1,1
1977,"Calahoo, AB",1,1
1163,"Outremont, QC",1,1
248,"Head of St. Margarets Bay, NS",1,1
1164,"Franklin, QC",1,1
1934,"Vauxhall, AB",1,1
1183,"Roxton, QC",1,1
1923,"Pollockville, AB",1,1
1925,"Turin, AB",1,1
1926,"Vulcan County, AB",1,1
1179,"Cardinal, ON",1,1
1176,"Pointe-calumet, QC",1,1
1930,"Arrowwood, AB",1,1
1175,"Nicolet-Yamaska, QC",1,1
1932,"Sunnynook, AB",1,1
256,"Whites Lake, NS",1,1
1935,"Rainier, AB",1,1
1165,"Grande-vallee, QC",1,1
1174,"Philipsburg, QC",1,1
1938,"Hussar, AB",1,1
254,"Bayers Lake, NS",1,1
1168,"Ormstown, QC",1,1
1167,"Sainte-Marcelline-de-Kildare, QC",1,1
1166,"Papineauville, QC",1,1
251,"Beechville, NS",1,1
250,"Sherwood, NS",1,1
1946,"Ryley, AB",1,1
249,"Hatchet Lake, NS",1,1
1978,"Goodfish Lake, AB",1,1
1980,"Roxboro, AB",1,1
305,"Balmoral, NB",1,1
1981,"Canyon Meadows, AB",1,1
2020,"Lundbreck, AB",1,1
2021,"Coalhurst, AB",1,1
2022,"Waterton Park, AB",1,1
2023,"Waterton, AB",1,1
213,"Murray River, PE",1,1
212,"Dufferin, NS",1,1
2027,"Galahad, AB",1,1
2029,"Byemoor, AB",1,1
209,"Afton Station, NS",1,1
2033,"Federal, AB",1,1
208,"Scotsburn, NS",1,1
2035,"Amisk, AB",1,1
2036,"Gadsby, AB",1,1
1099,"Frontenac, QC",1,1
1096,"Cook, QC",1,1
2041,"Rumsey, AB",1,1
2042,"Donalda, AB",1,1
1094,"Red Bay, NL",1,1
2044,"Lougheed, AB",1,1
2045,"Consort, AB",1,1
207,"St. Andrews, NS",1,1
594,"Authier, QC",1,1
204,"Point Tupper, NS",1,1
1108,"Ponsonby, QC",1,1
591,"Fraser, QC",1,1
2016,"Nobleford, AB",1,1
1996,"Exshaw, AB",1,1
1982,"Langdon, AB",1,1
1137,"Saint-prosper-de-dorchester, QC",1,1
1136,"Notre-dame-des-bois, QC",1,1
1985,"Ferintosh, AB",1,1
1132,"Ham-Sud, QC",1,1
223,"Victoria, Subd. B, NS",1,1
1992,"Bow Valley Provincial Park, AB",1,1
1126,"Saint-patrice-de-beaurivage, QC",1,1
1994,"Dead Man's Flats, AB",1,1
1995,"Kananaskis Village, AB",1,1
221,"Havre Boucher, NS",1,1
2014,"Glenwood, AB",1,1
219,"Valley, NS",1,1
590,"Comtois, QC",1,1
1118,"La Romaine, QC",1,1
215,"Inverness, Subd. B, NS",1,1
1536,"Iron Bridge, ON",1,1
1115,"Lantier, QC",1,1
1114,"Lac-Laurel, QC",1,1
1113,"Cartier, QC",1,1
214,"Iron Mines, NS",1,1
2011,"Granum, AB",1,1
1184,"Saint-Prime, QC",1,1
1185,"Saint-Joseph, QC",1,1
1919,"Fincastle, AB",1,1
257,"Sussex Corner, NB",1,1
1829,"Canfield, ON",1,1
1830,"Moose, ON",1,1
1832,"Dorion, ON",1,1
1833,"Neebing, ON",1,1
1836,"Desboro, ON",1,1
514,"Stanbridge Station, QC",1,1
1838,"Shallow Lake, ON",1,1
1839,"Nobel, ON",1,1
1840,"Henvey, ON",1,1
515,"Kahnawake, QC",1,1
1842,"Portland, ON",1,1
1843,"Maberly, ON",1,1
1844,"Brigden, ON",1,1
1845,"Camlachie, ON",1,1
291,"Trout Brook, NB",1,1
