Expected_jobs,Actual_jobs,City,State
13590,1,Venersborg,Washington
489,0,Hoquiam,Washington
430,0,Willapa,Washington
2950,10,Quilcene,Washington
9027,8,Freeland,Washington
2664,0,McCleary,Washington
23874,0,Roosevelt,Washington
550,71,Long Beach,Washington
344,3,Trout Lake,Washington
115,3,Coulee Dam,Washington
5817,2,Pine Grove,Washington
9346,6,Langley,Washington
2940,0,Sedro-Woolley,Washington
192,7,Hatton,Washington
844,2,Entiat,Washington
30966,2,Bainbridge Island,Washington
29915,5,Auburn,Washington
373,0,Ocean City,Washington
1340,0,White Swan,Washington
20426,0,Felida,Washington
8150,1,Lacey,Washington
5546,5,Gold Bar,Washington
33423,6,Clyde Hill,Washington
164,0,Marcus,Washington
2650,0,Malone,Washington
28280,0,Bothell East,Washington
33327,0,Yarrow Point,Washington
608,2,Steptoe,Washington
2110,0,West Richland,Washington
96,8,Orient,Washington
30921,4,Federal Way,Washington
802,0,Pe Ell,Washington
30224,17,Bothell,Washington
805,0,South Wenatchee,Washington
455,257,Snoqualmie Pass,Washington
130,8,Hartline,Washington
30742,0,Lake Forest Park,Washington
11440,0,Crocker,Washington
791,286,Elbe,Washington
27597,0,Ravensdale,Washington
5399,0,Arlington,Washington
15008,2,McChord AFB,Washington
189,10,Lebam,Washington
1608,2,Lynden,Washington
2320,0,Coupeville,Washington
462,11,Prescott,Washington
432,0,South Bend,Washington
426,0,Mabton,Washington
12939,0,North Bend,Washington
10312,4,Grapeview,Washington
803,0,Garfield,Washington
2981,0,Rochester,Washington
137,23,Dayton,Washington
28686,0,Algona,Washington
424,22,Mineral,Washington
188,1,Moclips,Washington
2580,0,Bellingham,Washington
1375,1,Vader,Washington
25345,0,Tracyton,Washington
732,0,White Salmon,Washington
162,0,Peaceful Valley,Washington
33430,0,East Renton Highlands,Washington
54,4,Metaline,Washington
1869,0,Deming,Washington
4392,2,Medical Lake,Washington
510,0,Aberdeen,Washington
1269,0,Chehalis,Washington
859,0,Onalaska,Washington
1290,0,Toledo,Washington
1612,0,Everson,Washington
18587,0,Belfair,Washington
28888,0,Lynnwood,Washington
1217,0,Colton,Washington
341,3,Malden,Washington
29165,1,Ames Lake,Washington
449,0,Wilson Creek,Washington
9862,0,North Yelm,Washington
28986,1,Mirrormont,Washington
4889,1,Town and Country,Washington
441,0,Tokeland,Washington
23720,0,Snoqualmie,Washington
29565,2,Bremerton,Washington
1004,0,East Cathlamet,Washington
12947,0,Fort Lewis,Washington
20247,1,Salmon Creek,Washington
269,60,Skykomish,Washington
24439,1,Tacoma,Washington
24540,2,Monroe,Washington
580,1,Loomis,Washington
89,14,Pomeroy,Washington
18467,1,Brush Prairie,Washington
26110,0,Silver Firs,Washington
129,0,Nespelem,Washington
27197,3,Meadowdale,Washington
11848,1232,Shadow Lake,Washington
103,11,LaCrosse,Washington
271,0,Concrete,Washington
1592,0,Sumas,Washington
27143,0,Ruston,Washington
11535,1,La Center,Washington
5363,14,Marrowstone,Washington
156,0,Chelan Falls,Washington
2515,0,Lake Cavanaugh,Washington
794,0,Sequim,Washington
2291,0,Benton City,Washington
531,0,Moses Lake,Washington
18556,1,Fircrest,Washington
489,0,Othello,Washington
34826,3,Mercer Island,Washington
14649,2,Enumclaw,Washington
21097,0,Chico,Washington
30839,1,Enetai,Washington
33321,2,Hunts Point,Washington
13426,4,Clinton,Washington
11235,0,Hat Island,Washington
2218,0,Marietta-Alderwood,Washington
452,0,Waitsburg,Washington
750,0,Sunnyslope,Washington
420,0,South Cle Elum,Washington
1631,3,Selah,Washington
102,12,Lind,Washington
20447,0,Five Corners,Washington
79,12,Winthrop,Washington
36127,0,Normandy Park,Washington
12135,1,Home,Washington
12154,4,Graham,Washington
6407,2,Yacolt,Washington
109,19,Packwood,Washington
50,2,Queets,Washington
2322,0,Finley,Washington
119,11,Northport,Washington
33360,0,Medina,Washington
29220,0,Browns Point,Washington
15908,1,Summit,Washington
773,0,Albion,Washington
2666,0,Sudden Valley,Washington
1631,0,Gleed,Washington
529,1,Maryhill,Washington
1692,1,Alder,Washington
15459,0,Ridgefield,Washington
4840,0,Bryant,Washington
10163,0,Nisqually Indian Community,Washington
169,0,Kettle Falls,Washington
168,0,Chelan,Washington
2849,2,Edison,Washington
97,8,Neilton,Washington
17502,1,Fox Island,Washington
36041,3,Renton,Washington
731,1,Baring,Washington
28700,1,Hobart,Washington
2177,13,Wallula,Washington
917,10,Touchet,Washington
717,6,Leavenworth,Washington
15533,0,Fobes Hill,Washington
100,8,Harrington,Washington
29172,2,Port Orchard,Washington
28719,0,Alderwood Manor,Washington
2112,2,Kennewick,Washington
1351,1,Ahtanum,Washington
11432,1,Machias,Washington
795,0,Bingen,Washington
4520,1,Four Lakes,Washington
279,5,Springdale,Washington
83,7,Washtucna,Washington
32109,1,Covington,Washington
10420,0,Allyn,Washington
10327,3,North Sultan,Washington
1371,1,Union Gap,Washington
2884,0,Shelton,Washington
679,108,Chinook,Washington
1614,1,Blaine,Washington
1775,12,Port Hadlock-Irondale,Washington
29046,5,Burley,Washington
3007,0,Mount Vernon,Washington
125,2,Electric City,Washington
165,0,Ronald,Washington
129,0,Nespelem Community,Washington
79,2,Amanda Park,Washington
1097,0,Clarkston Heights-Vineland,Washington
37308,1,Boulevard Park,Washington
2603,0,Big Lake,Washington
163,0,Boyds,Washington
30950,1,Parkwood,Washington
4312,2,Deer Park,Washington
405,0,Humptulips,Washington
36326,0,SeaTac,Washington
30858,0,Maple Valley,Washington
6162,0,Millwood,Washington
304,0,Point Roberts,Washington
490,2,Dixie,Washington
29505,1,East Port Orchard,Washington
177,9,Morton,Washington
2630,0,Alger,Washington
82,0,Kahlotus,Washington
25924,1,Fife Heights,Washington
15460,0,Cherry Grove,Washington
27029,0,Clearview,Washington
964,402,Greenwater,Washington
26129,0,Picnic Point,Washington
1498,0,Kendall,Washington
14199,3,Seabeck,Washington
7922,4,Startup,Washington
14834,4,Steilacoom,Washington
133,6,Lamont,Washington
2837,0,Bay View,Washington
223,9,Valley,Washington
7718,0,North Marysville,Washington
695,1,Brady,Washington
3680,3,May Creek,Washington
2901,0,Clear Lake,Washington
123,10,Keller,Washington
31120,4,Redmond,Washington
684,0,Ilwaco,Washington
30074,4,Mountlake Terrace,Washington
1407,0,Parker,Washington
492,0,Soap Lake,Washington
3053,0,Grand Mound,Washington
33789,0,Manchester,Washington
3496,0,Verlot,Washington
219,0,North Omak,Washington
1503,0,Naches,Washington
1350,0,Summitview,Washington
900,7,Prosser,Washington
603,0,Naselle,Washington
767,0,Rock Island,Washington
503,17,Goldendale,Washington
27747,0,Maltby,Washington
2325,0,Oak Harbor,Washington
139,6,Endicott,Washington
27092,0,Mill Creek East,Washington
33081,0,Maple Heights-Lake Desire,Washington
16144,0,Midland,Washington
27062,1,Kingston,Washington
29988,0,Esperance,Washington
636,0,Grays River,Washington
12553,0,Sultan,Washington
3326,1,La Grande,Washington
97,11,Ritzville,Washington
246,0,Malott,Washington
159,5,Coulee City,Washington
482,0,Raymond,Washington
18916,0,Wollochet,Washington
401,0,Quincy,Washington
538,0,Walla Walla East,Washington
1213,0,Hamilton,Washington
29452,0,Woodinville,Washington
467,0,Bay Center,Washington
1352,29,Port Townsend,Washington
207,0,Riverside,Washington
29788,0,Woodway,Washington
593,0,Stevenson,Washington
584,0,Ocean Park,Washington
521,0,Port Angeles,Washington
14955,1,Bonney Lake,Washington
39,11,Oroville,Washington
542,0,Garrett,Washington
5993,3,Otis Orchards-East Farms,Washington
6428,3,Warm Beach,Washington
2774,0,Conway,Washington
524,0,College Place,Washington
25152,0,Eastmont,Washington
1478,0,Maple Falls,Washington
499,0,Ephrata,Washington
1520,0,Buena,Washington
5242,1,Tumwater,Washington
191,10,Desert Aire,Washington
23819,3,Mukilteo,Washington
130,9,Twisp,Washington
20723,1,Lake Shore,Washington
26926,0,Keyport,Washington
10596,0,Lake Stevens,Washington
104,3,Starbuck,Washington
1362,0,Harrah,Washington
20338,6,Hansville,Washington
707,0,Carlsborg,Washington
9432,0,Yelm,Washington
2322,944,Fenwick Island,Delaware
2499,785,Delmar,Delaware
36442,1093,Ardencroft,Delaware
2846,669,Farmington,Delaware
2669,388,Felton,Delaware
2779,1,Hartly,Delaware
14468,554,Pike Creek,Delaware
2572,5,Millville,Delaware
2393,1,Highland Acres,Delaware
2288,0,Rising Sun-Lebanon,Delaware
2643,1,Little Creek,Delaware
2337,0,Magnolia,Delaware
21560,4,Greenville,Delaware
18210,1,Elsmere,Delaware
2522,0,Harrington,Delaware
2796,1,Seaford,Delaware
2231,0,Dover Base Housing,Delaware
3867,0,Dagsboro,Delaware
3530,5,Milford,Delaware
2282,1,Bridgeville,Delaware
32553,1,Bellefonte,Delaware
3431,4,Smyrna,Delaware
15722,3,Wilmington Manor,Delaware
14205,1,New Castle,Delaware
2385,0,Bowers,Delaware
2798,1,Bethel,Delaware
3823,0,Selbyville,Delaware
2871,0,Houston,Delaware
2380,0,Woodside East,Delaware
2382,0,Viola,Delaware
2870,30,Dewey Beach,Delaware
16197,0,Newport,Delaware
2413,0,Bethany Beach,Delaware
32133,1,Edgemoor,Delaware
7063,0,Townsend,Delaware
3127,0,Georgetown,Delaware
2500,0,Kenton,Delaware
2749,0,Greenwood,Delaware
14860,0,North Star,Delaware
3627,0,Slaughter Beach,Delaware
8538,12,Middletown,Delaware
2795,0,Blades,Delaware
2682,0,Frederica,Delaware
2756,0,Rehoboth Beach,Delaware
2773,0,Milton,Delaware
2356,0,Woodside,Delaware
11192,1,Bear,Delaware
27934,1,Wilmington,Delaware
14777,1,Pike Creek Valley,Delaware
2484,0,Rodney Village,Delaware
2753,0,Henlopen Acres,Delaware
3895,0,Frankford,Delaware
4167,0,Millsboro,Delaware
10140,4,Glasgow,Delaware
3376,0,Clayton,Delaware
2732,0,Cheswold,Delaware
8253,5,Odessa,Delaware
2484,0,Kent Acres,Delaware
9324,1,St. Georges,Delaware
37378,0,Ardentown,Delaware
37031,0,Arden,Delaware
3189,0,Ellendale,Delaware
2695,0,Lewes,Delaware
2502,1,Laurel,Delaware
11525,1,Brookside,Delaware
2476,0,Wyoming,Delaware
38527,1,Claymont,Delaware
11771,0,Newark,Delaware
2912,0,Long Neck,Delaware
2323,0,Camden,Delaware
2866,0,Leipsic,Delaware
9924,1,Delaware City,Delaware
2421,0,Ocean View,Delaware
2414,0,South Bethany,Delaware
16359,0,Hockessin,Delaware
2521,0,Riverview,Delaware
2613,0,Dover,Delaware
70977,1222,Washington,District of Columbia
267,269,Stone Lake,Wisconsin
225,205,Nelson,Wisconsin
417,353,Fennimore,Wisconsin
13337,1017,Chenequa,Wisconsin
4034,893,Helenville,Wisconsin
17512,620,Tichigan,Wisconsin
2319,1060,Kekoskee,Wisconsin
1195,759,Wonewoc,Wisconsin
2731,792,St. Peter,Wisconsin
379,304,Black River Falls,Wisconsin
4524,1129,Shiocton,Wisconsin
350,254,Three Lakes,Wisconsin
2306,721,Waldo,Wisconsin
11952,0,North Prairie,Wisconsin
245,168,Mattoon,Wisconsin
1318,939,Almond,Wisconsin
955,619,New Auburn,Wisconsin
3189,36,Hustisford,Wisconsin
7739,426,Little Chute,Wisconsin
1466,762,Birnamwood,Wisconsin
7902,1106,Lodi,Wisconsin
374,165,Whitehall,Wisconsin
1552,482,West Baraboo,Wisconsin
2187,3,Lomira,Wisconsin
2180,1,Brownsville,Wisconsin
1979,637,Bloomer,Wisconsin
44,24,Wabeno,Wisconsin
3885,775,Whitewater,Wisconsin
4552,596,Reedsville,Wisconsin
1079,9,Amherst,Wisconsin
7533,509,Monona,Wisconsin
7449,1213,River Falls,Wisconsin
3968,610,Delavan,Wisconsin
16898,582,Greendale,Wisconsin
179,20,Couderay,Wisconsin
1364,698,Berlin,Wisconsin
449,343,Grantsburg,Wisconsin
1922,3,Burnett,Wisconsin
49,17,Lakewood,Wisconsin
1608,370,Wausau,Wisconsin
490,156,Livingston,Wisconsin
593,183,Hillsboro,Wisconsin
83,50,Exeland,Wisconsin
1941,6,Whitelaw,Wisconsin
7620,1,East Troy,Wisconsin
882,651,Oconto,Wisconsin
3376,4,Elkhorn,Wisconsin
12760,0,Nashotah,Wisconsin
617,20,Rewey,Wisconsin
339,154,Ferryville,Wisconsin
