location,Actual_jobs
"St. Walburg, SK",2
"Maidstone, SK",2
"Derwent, AB",2
"Turtleford, SK",1
"Myrnam, AB",1
"Cut Knife, SK",1
"Peace River, AB",55
"Manning, AB",8
"Mackenzie County, AB",3
"Fairview, AB",29
"Dixonville, AB",1
"Brownvale, AB",1
"Barrhead, AB",27
"Swan Hills, AB",7
"Entwistle, AB",3
"Glenevis, AB",1
"Enoch, AB",2
"Fallis, AB",1
"Pembina, AB",1
"Neerlandia, AB",1
"Gunn, AB",1
"Highway, AB",4
"Darwell, AB",1
"Spring Lake, AB",1
"Fort McMurray, AB",507
"Anzac, AB",5
"Fort Mackay, AB",13
"Dunmore, AB",2
"Foremost, AB",1
"Woolchester, AB",2
"Irvine, AB",1
"Bindloss, AB",4
"Schuler, AB",3
"Golden Prairie, SK",2
"Elkwater, AB",1
"Maple Creek, SK",2
"Tofield, AB",1
"Kindersley, SK",54
"Oyen, AB",5
"Acadia Valley, AB",1
"Empress, AB",1
"Driver, SK",2
"Leader, SK",8
"Eatonia, SK",1
"Spirit River, AB",10
"Unity, SK",1
"Rainbow Lake, AB",3
"Beiseker, AB",4
"Benalto, AB",1
"Kneehill County, AB",1
"Lacombe County, AB",1
"James River Bridge, AB",1
"Mulhurst, AB",1
"Lodge, AB",1
"Alhambra, AB",1
"Springbrook, AB",1
"Rycroft, AB",8
"Clairmont, AB",19
"Grande Prairie, AB",477
"Sexsmith, AB",18
"Dimsdale, AB",1
"Hythe, AB",9
"Wembley, AB",4
"Beaverlodge, AB",20
"Silver Valley, AB",1
"County of Grande Prairie No. 1, AB",4
"Wanham, AB",2
"La Glace, AB",1
"Dawson Creek, BC",127
"Grovedale, AB",2
"Bay Tree, AB",1
"Pouce Coupe, BC",1
"Slave Lake, AB",100
"Wabasca, AB",14
"Smith, AB",2
"Wabasca-Desmarais, AB",2
"Ranch, AB",2
"Tsuu T'ina, AB",2
"Fox Creek, AB",1
"New Sarepta, AB",1
"Westlock County, AB",1
"Lac Ste. Anne County, AB",1
"Abbotsford, BC",503
"Burnaby, BC",466
"Surrey, BC",353
"Vancouver, BC",655
"Dewdney, BC",1
"Langley, BC",440
"Mission, BC",33
"New Westminster, BC",56
"Chilliwack, BC",250
"Maple Ridge, BC",48
"North Vancouver, BC",158
"Squamish, BC",9
"Aldergrove, BC",24
"Coquitlam, BC",172
"Lower Mainland, BC",39
"Delta, BC",65
"White Rock, BC",9
"Metro Vancouver Regional District, BC",17
"Cloverdale, BC",3
"West Vancouver, BC",17
"Richmond, BC",357
"Pitt Meadows, BC",19
"Sidney, BC",22
"Port Moody, BC",19
"Hope, BC",35
"Tsawwassen, BC",17
"Walnut Grove, BC",1
"South Surrey, BC",12
"Port Coquitlam, BC",129
"Saltspring Island, BC",1
"Agassiz, BC",5
"Armstrong, BC",51
"Vernon, BC",260
"Kelowna, BC",555
"Kamloops, BC",686
"Revelstoke, BC",91
"Salmon Arm, BC",86
"Coldstream, BC",4
"West Kelowna, BC",47
"Enderby, BC",22
"Sun Peaks, BC",36
"Blind Bay, BC",3
"Sicamous, BC",4
"Lumby, BC",8
"Fintry, BC",1
"Chase, BC",9
"Oyama, BC",2
"Lake Country, BC",13
"Lavington, BC",4
"Winfield, BC",4
"Westwold, BC",1
"Rutland, BC",1
"Westbank, BC",13
"Peachland, BC",4
"Naramata, BC",3
"Okanagan, BC",8
"Gellatly, BC",1
"Heffley Creek, BC",4
"Monte Lake, BC",1
"Victoria, BC",384
"Nanaimo, BC",347
"Gibsons, BC",22
"Chemainus, BC",8
"West End, BC",1
"Duncan, BC",128
"Malahat, BC",2
"Campbell River, BC",295
"Courtenay, BC",209
"Whaletown, BC",2
"Port Alberni, BC",96
"Qualicum Beach, BC",46
"Powell River, BC",77
"Heriot Bay, BC",6
"Comox, BC",51
"Ladysmith, BC",25
"Comox Valley, BC",29
"Fanny Bay, BC",4
"Cumberland, BC",17
"Headquarters, BC",14
"Egmont, BC",1
"Deep Bay, BC",1
"Van Anda, BC",2
"Madeira Park, BC",3
"Woss, BC",2
"Buckley Bay, BC",2
"Sayward, BC",1
"French Creek, BC",1
"Coombs, BC",7
"Merville, BC",6
"Gold River, BC",5
"Thurlow, BC",1
"Roy, BC",1
"Parksville, BC",75
"Gillies Bay, BC",1
"Castlegar, BC",68
"Fruitvale, BC",3
"Nelson, BC",108
"Trail, BC",81
"Canyon, BC",3
"Brilliant, BC",1
"Creston, BC",35
"Grand Forks, BC",25
"Rossland, BC",7
"Balfour, BC",1
"Montrose, BC",1
"Midway, BC",2
"Salmo, BC",3
British Columbia,35
"Christina Lake, BC",4
"Crawford Bay, BC",3
"Crescent Valley, BC",1
"Robson, BC",1
"Kaslo, BC",4
"Kitchener, BC",1
"Columbia Gardens, BC",4
"Kootenay Bay, BC",1
"New Denver, BC",2
"Rock Creek, BC",1
"Kootenay, BC",1
"Rosedale, BC",2
"Harrison Mills, BC",1
"Tulameen, BC",1
"Lindell Beach, BC",1
"Colwood, BC",10
"Langford, BC",39
"Saanich, BC",5
"Saanichton, BC",14
"Esquimalt, BC",6
"Sooke, BC",5
"Cobble Hill, BC",7
"Cowichan, BC",9
"Royal Oak, BC",1
"View Royal, BC",2
"Shawnigan Lake, BC",2
"North Saanich, BC",7
"Oak Bay, BC",1
"Sechelt, BC",38
"Tofino, BC",40
"Kimberley, BC",13
"Fort St. John, BC",314
"Moberly Lake, BC",10
"Bear Flat, BC",1
"Chetwynd, BC",40
"Tumbler Ridge, BC",10
"Taylor, BC",2
"Charlie Lake, BC",1
"Arras, BC",2
"Valley View, BC",1
"Baldonnel, BC",1
"Demmitt, AB",1
"Lake Cowichan, BC",6
"Salt Spring Island, BC",1
"Prophet River, BC",1
"Fort Nelson, BC",28
"Whistler, BC",3
"Langdale, BC",1
"Golden, BC",93
"Saskatchewan River Crossing, AB",2
"Field, BC",19
"Radium Hot Springs, BC",15
"Okanagan Falls, BC",10
"Oliver, BC",68
"Penticton, BC",365
"Osoyoos, BC",70
"Cawston, BC",7
"Okanagan-Similkameen D, BC",1
"Kaleden, BC",3
"Big White Ski, BC",2
"Summerland, BC",17
"Merritt, BC",105
"Ashcroft, BC",9
"Savona, BC",3
"Barriere, BC",4
"Cache Creek, BC",6
"Logan Lake, BC",1
"Darfield, BC",1
"Walhachin, BC",1
"Invermere, BC",2
"Panorama, BC",4
"Murrayville, BC",1
"North Delta, BC",1
"Fraser Valley Regional District, BC",6
"Princeton, BC",17
"Boston Bar, BC",5
"Copper Mountain, BC",1
"North Bend, BC",1
"Chase River, BC",1
"Cedar, BC",1
"Cassidy, BC",4
"Nanoose Bay, BC",7
"Sunshine Coast, BC",1
"Vancouver Island, BC",1
"Ucluelet, BC",13
"Errington, BC",4
"Lantzville, BC",3
"Port Renfrew, BC",1
"Nanoose, BC",1
"Gabriola, BC",1
"Port McNeill, BC",18
"Port Hardy, BC",29
"Alert Bay, BC",12
"Tahsis, BC",1
"Telegraph Cove, BC",1
"Holberg, BC",2
"Prince George, BC",659
"Vanderhoof, BC",55
"Hixon, BC",1
"Bridge, BC",1
"Prince Rupert, BC",133
"Mill Bay, BC",18
"Port Edward, BC",1
"Skeena, BC",2
"Williams Lake, BC",188
"Quesnel, BC",110
"Gibraltar, BC",4
"Thompson, BC",1
"Smithers, BC",112
"Terrace, BC",242
"Houston, BC",16
"Hazelton, BC",26
"Telkwa, BC",1
"Thornhill, BC",2
"New Hazelton, BC",3
"Kitsumkalum, BC",1
"Kitimat, BC",117
"Kitamaat Village, BC",5
"New Aiyansh, BC",8
"Gitwinksihlkw, BC",1
"100 Mile House, BC",33
"150 Mile House, BC",2
"Black Creek, BC",1
"Lac La Hache, BC",3
"Hanceville, BC",4
"Forest Grove, BC",1
"One Hundred Mile House, BC",1
"Dawson City, YT",4
"Dawson, YT",7
"Granville, YT",1
"Faro, YT",6
"Watson Lake, YT",24
"Whitehorse, YT",223
"Carcross, YT",1
"Fort Smith, NT",14
"Hay River, NT",19
"Inuvik, NT",13
"Aklavik, NT",1
"Norman Wells, NT",10
"Tulita, NT",1
"Yellowknife, NT",179
"Behchokǫ̀, NT",3
"Iqaluit, NU",83
