location,Actual_jobs
"Lower St Marys, NB",1
"New Bandon, NB",1
"Centreville, NB",4
"Hazelton, NB",1
"Nackawic, NB",8
"French Village-york, NB",1
"Chipman, NB",6
"Saint Stephen, NB",2
"Sussex Area, NB",1
"Lincoln, NB",1
"St. George, NB",7
"Richibucto Road, NB",1
"Belleisle Creek, NB",2
"Lindsay, NB",2
"Jacksonville, NB",3
"Hartford, NB",1
"Nasonworth, NB",1
"Bath, NB",1
"Bristol, NB",1
"Doaktown, NB",2
"Evandale, NB",1
"Old Ridge, NB",1
"Sussex East, NB",1
"Four Corners, NB",1
"Fredericton Junction, NB",1
"Dow Settlement, NB",1
"Elmsville, NB",1
"Saint-andré, NB",1
"Queensbury, NB",2
"Geary, NB",1
"Hersonville, NB",1
"Aulac, NB",1
"Saint Andrews, NB",11
"Back Bay, NB",1
"Lord's Cove, NB",1
"Lambert's Cove, NB",1
"Cummings Cove, NB",1
"Burpee, NB",1
"Saint-Philippe, QC",2
"Montréal, QC",792
"Knowlton, QC",9
"Montérégie, QC",15
"Cowansville, QC",38
"Dunham, QC",2
"Saint-Hubert, QC",124
"Westmount, QC",12
"Brossard, QC",294
"Mansonville, QC",5
"Granby, QC",253
"Longueuil, QC",124
"Ange-Gardien, QC",25
"Beloeil, QC",76
"Saint-Constant, QC",25
"Sutton, QC",6
"Mont-royal, QC",14
"Boucherville, QC",76
"Chambly, QC",17
"Châteauguay, QC",47
"Fulford, QC",1
"Bolton-est, QC",1
"Sainte-Julie, QC",32
"Saint-Hyacinthe, QC",252
"Saint-Jean-sur-Richelieu, QC",157
"Saint-Césaire, QC",12
"Bromont, QC",35
"Richmond, QC",8
"Lasalle, QC",15
"Eastman, QC",1
"Waterloo, QC",7
"Saint-leonard, QC",16
"Saint-Laurent, QC",50
"Mont-Saint-Grégoire, QC",6
"Saint-Lambert, QC",41
"Saint-Bruno-de-Montarville, QC",29
"Lachine, QC",34
"Montréal-Est, QC",26
"Beauharnois, QC",11
"Verdun, QC",13
"La Prairie, QC",32
"West Island, QC",3
"Delson, QC",9
"Sherbrooke, QC",625
"Drummondville, QC",336
"Acton Vale, QC",9
"Varennes, QC",42
"Dorval, QC",46
"Repentigny, QC",96
"Saint-Rémi, QC",10
"Farnham, QC",9
"Mercier, QC",14
"Mont-Saint-Hilaire, QC",18
"Saint-Basile-le-Grand, QC",10
"Rougemont, QC",1
"Greater Montreal Area, QC",6
"Anjou, QC",93
"Côte-Saint-Luc, QC",7
"Sainte-Catherine, QC",8
"Shefford, QC",2
"Roxton Pond, QC",1
"Saint-François-Xavier-de-Brompton, QC",4
"Waterville, QC",12
"Bolton-Est, QC",1
"Carignan, QC",6
"Saint-Mathieu-de-Beloeil, QC",17
"Marieville, QC",3
"Valcourt, QC",6
"Saint-Alphonse-de-Granby, QC",5
"Rivière-des-Prairies, QC",11
"Austin, QC",2
"Greenfield Park, QC",3
"Bedford, QC",5
"Candiac, QC",26
"Montréal-Ouest, QC",8
"Coaticook, QC",10
"Magog, QC",133
"Saint-Chrysostome, QC",1
"Saint-mathias-sur-richelieu, QC",1
"Napierville, QC",8
"Saint-Blaise-sur-Richelieu, QC",1
"North Hatley, QC",3
"Town of Mount-Royal, QC",3
"Laval, QC",338
"Lacolle, QC",2
"Windsor, QC",9
"Saint-Antoine-sur-Richelieu, QC",2
"Richelieu, QC",6
"Sainte-madeleine, QC",3
"Sainte-Martine, QC",2
"Stanbridge Station, QC",1
"Kahnawake, QC",1
"Sainte-Cécile-de-Milton, QC",1
"Saint-blaise-sur-richelieu, QC",1
"Terrebonne, QC",103
"Saint-Roch-de-l'Achigan, QC",12
"Dollard-Des Ormeaux, QC",43
"Mascouche, QC",40
"Pike River, QC",1
"Roxton Falls, QC",1
"Louiseville, QC",13
"Senneville, QC",18
"L'Île-Perrot, QC",21
"Joliette, QC",115
"Kirkland, QC",60
"L'Assomption, QC",18
"Vaudreuil-Dorion, QC",77
"Girardville, QC",5
"Lac-Saint-Jean, QC",25
"Sainte-monique-lac-saint-jean, QC",2
"Saint-Gédéon, QC",2
"Dolbeau, QC",9
"Saint-Félicien, QC",22
"Normandin, QC",13
"Alma, QC",94
"Metabetchouan-lac-a-la-croix, QC",3
"Dolbeau-Mistassini, QC",1
"Charlevoix, QC",10
"Saint-Ludger-de-Milot, QC",1
"Roberval, QC",32
"La Dore, QC",3
"Dolbeau-mistassini, QC",15
"Hebertville-station, QC",1
"Mistassini, QC",1
"Saint-Ambroise, QC",7
"Saint-Stanislas, QC",2
"St-nazaire-du-lac-st-jean, QC",1
"Desbiens, QC",1
"De l'Île, QC",5
"Chomedey, QC",3
"Saint-Coeur-de-Marie, QC",1
"Saint-bruno-lac-saint-jean, QC",1
"Bourget, QC",2
"Saint-Nazaire, QC",1
Quebec Province,17
"Saguenay, QC",145
"Jonquière, QC",108
"Chicoutimi, QC",219
"Saint-honore-de-chicoutimi, QC",1
"Lac-kenogami, QC",1
"La Baie, QC",26
"Saint-Honoré, QC",3
"Laterriere, QC",4
"Amos, QC",86
"Val-d'Or, QC",232
"Rouyn-Noranda, QC",174
"Abitibi, QC",2
"Lebel-sur-Quévillon, QC",11
"Dollard, QC",3
"Landrienne, QC",1
"La Sarre, QC",66
"Clermont, QC",2
"Malartic, QC",20
"Cadillac, QC",1
"Abitibi-Témiscamingue, QC",11
"Vanier, QC",21
"Lac-simon, QC",3
"Trécesson, QC",1
"Privat, QC",1
"Palmarolle, QC",12
"Rouyn, QC",4
"Senneterre, QC",3
"Dupuy, QC",4
"Taschereau, QC",2
"Sainte-Germaine-Boulé, QC",1
"Lebel-sur-quevillon, QC",2
"Comtois, QC",1
"Fraser, QC",1
"Macamic, QC",5
"Villebois, QC",2
"Authier, QC",1
"Mont-Joli, QC",23
"Matane, QC",84
"Rimouski, QC",196
"Baie-Comeau, QC",107
"Le Bic, QC",1
"Courcelette, QC",2
"Saint-pascal, QC",12
"Les Mechins, QC",2
"Sainte-Irène, QC",3
"St-Valérien, QC",2
"Saint-Anaclet-de-Lessard, QC",5
"Pointe-Lebel, QC",3
"Saint-Damase, QC",3
"Saint-gabriel-de-rimouski, QC",2
"Sainte-Marguerite, QC",3
"Pointe-aux-outardes, QC",1
"Godbout, QC",2
"Saint-anaclet, QC",1
"Sayabec, QC",2
"Saint-donat, QC",11
"Coteau-du-Lac, QC",19
"Mirabel, QC",123
"Pincourt, QC",9
"Saint-Jérôme, QC",84
"Baie-d'urfe, QC",56
"Bois-des-Filion, QC",12
"Hudson, QC",6
"Haileybury, ON",22
"Ville-Marie, QC",16
"Kirkland Lake, ON",38
"Bearn, QC",3
"New Liskeard, ON",32
"Saint-Bruno-de-Guigues, QC",1
"Harley, ON",5
"Témiscamingue, QC",4
"Cobalt, ON",1
"Earlton, ON",3
"Englehart, ON",8
"Temiskaming Shores, ON",5
"Saint-Urbain, QC",1
"Témiscaming, QC",5
"Notre-dame-du-nord, QC",2
"Timmins, ON",265
"Elk Lake, ON",3
"West Nipissing / Nipissing Ouest, ON",3
"Timiskaming, ON",2
"Temagami, ON",1
"Bellefeuille, QC",2
"Hudson, ON",2
"Saint-Sauveur, QC",46
"Montreal-nord, QC",15
"Pointe-aux-trembles, QC",6
"Lachenaie, QC",12
"Pierrefonds, QC",19
"Sainte-Thérèse, QC",64
"Boisbriand, QC",87
"Pointe-Claire, QC",69
"Blainville, QC",179
"Saint-François, QC",1
"Cartierville, QC",1
"Ahuntsic, QC",1
"Saint-Eustache, QC",62
"Sainte-Anne-de-Bellevue, QC",13
"Sainte-Anne-des-Plaines, QC",14
"Beaconsfield, QC",10
"Saint-hugues, QC",1
"Rosemère, QC",35
"Lévis, QC",189
"Saint-joseph-de-beauce, QC",21
"Quebec City, QC",616
"Beauceville, QC",40
"Chaudière-Appalaches, QC",51
"Saint-Nicolas, QC",12
"Saint-lazare-de-bellechasse, QC",6
"Tring-jonction, QC",4
"Sainte-Claire, QC",13
"L'Islet, QC",2
"Saint-jean-d'orleans, QC",1
"Charlesbourg, QC",4
"Sainte-Foy, QC",31
"Saint-Anselme, QC",19
"Montmagny, QC",38
"Beauport, QC",7
"Cap-Saint-Ignace, QC",7
"Thetford Mines, QC",137
"La Guadeloupe, QC",13
"Saint-Victor, QC",13
"Saint-henri-de-levis, QC",11
"Sainte-croix, QC",1
"Armagh, QC",1
"Sainte-Marie, QC",90
"Saint-just-de-bretenieres, QC",4
"Saint-Romuald, QC",5
"Saint-Georges, QC",216
"Boischatel, QC",1
"L'Ancienne-Lorette, QC",7
"Saint-antoine-de-tilly, QC",1
"Saint-Augustin-de-Desmaures, QC",11
"Capitale-Nationale, QC",24
"Laurier-station, QC",6
"Baie-Saint-Paul, QC",27
"Sainte-Anne-de-Beaupré, QC",3
"Pintendre, QC",4
"Saint-pacome, QC",2
"Shannon, QC",1
"Saint-Gédéon-de-Beauce, QC",9
"Portneuf, QC",4
"Saint-vallier, QC",2
"Neuville, QC",2
"Sainte-Justine, QC",4
"Saint-charles-de-bellechasse, QC",4
"Beauce, QC",19
"Saint-Michel-de-Bellechasse, QC",2
"Saint-Georges-de-Beauce, QC",34
"Saint-agapit, QC",4
"Saint-sylvestre, QC",1
"Saint-neree, QC",1
"Lac-beauport, QC",2
"Saint-apollinaire, QC",13
"La Pocatiere, QC",41
"Sainte-Marie-De-Beauce, QC",17
"Saint-Rédempteur, QC",1
"Vallee-jonction, QC",14
"Adstock, QC",11
"Saint-Nérée-de-Bellechasse, QC",1
"Lac-Etchemin, QC",3
"Saint-Raymond, QC",12
"Saint-Isidore, QC",10
"Saint-Bernard, QC",13
"Chateau-richer, QC",2
"Saint-Léon-de-Standon, QC",1
"Donnacona, QC",3
"Saint-ferreol-les-neiges, QC",1
"Saint-lambert-de-lauzon, QC",18
"Inverness, QC",1
"Saint-jacques-de-leeds, QC",2
"Saint-omer, QC",1
"Sainte Catherine de la Jacques Cartier, QC",2
"Cap-rouge, QC",1
"Saint-Casimir, QC",1
"Victoriaville, QC",164
"Rockland, QC",2
"Berthierville, QC",15
"Princeville, QC",13
"Lanoraie, QC",1
"Shawinigan, QC",189
"Trois-Rivières, QC",317
"Nicolet, QC",16
"Disraeli, QC",6
"Centre-du-Québec, QC",11
"Saint-Lucien, QC",4
"Saint-Léonard-d'Aston, QC",5
"Lac-a-la-tortue, QC",2
"Villeroy, QC",2
"Plessisville, QC",8
"Saint-Wenceslas, QC",1
"Notre-Dame-du-Bon-Conseil, QC",1
"Saint-ubalde, QC",8
"Lac-Mégantic, QC",55
"Kingsey Falls, QC",7
"Asbestos, QC",13
"Sorel-Tracy, QC",47
"Saint-Patrice, QC",3
"Saint-francois-du-lac, QC",3
"Sorel, QC",9
"Warwick, QC",3
"Saint-Odilon, QC",5
"Ascot Corner, QC",4
"Bécancour, QC",17
"Saint-edouard-de-lotbiniere, QC",4
"Saint-Denis-sur-Richelieu, QC",3
"East Angus, QC",5
"Trois-Rivières-Ouest, QC",7
"Wickham, QC",5
"Estrie, QC",2
"Saint-Germain-de-Grantham, QC",8
"Lawrenceville, QC",1
"Saint-Eugène, QC",1
"Wotton, QC",1
"Saint-Narcisse, QC",9
"Maskinonge, QC",1
"Hatley, QC",1
"Saint-Marc-des-Carrières, QC",4
"Yamachiche, QC",19
"Saint-Gilbert, QC",2
"Danville, QC",3
"Daveluyville, QC",1
"Saint-Albert, QC",1
"Yamaska, QC",1
"Sainte-Perpétue, QC",1
"Cleveland, QC",1
"Weedon, QC",5
"Notre-dame-des-prairies, QC",4
"Sainte-Adèle, QC",30
"Auteuil, QC",2
"Sainte-Dorothée, QC",4
"Les Cedres, QC",2
"La Conception, QC",3
"Alfred, ON",1
"Sainte-Agathe-des-Monts, QC",83
"Saint-Henri, QC",2
"Gatineau, QC",329
"Ottawa, ON",717
"Nepean, ON",48
"Cantley, QC",15
"Orleans, ON",57
"Aylmer, QC",8
"Hull, QC",19
"Barrhaven, ON",7
"National Capital Region, ON",5
"Kanata, ON",94
"Brockville, ON",114
"Chelsea, QC",10
"Carlsbad Springs, ON",2
"Greely, ON",2
"Winchester, ON",2
"Gloucester, ON",19
"Stittsville, ON",28
"Ottawa West, ON",9
"Cornwall, ON",173
"Richmond, ON",5
"Vars, ON",5
"Westboro, ON",1
"Bayshore, ON",1
"Manotick, ON",8
"Vanier, ON",2
"Hammond, ON",1
"Wakefield, QC",9
"Ottawa East, ON",5
"Maitland, ON",3
"Hunt Club, ON",3
"Kemptville, ON",17
"Saint-André-Avellin, QC",18
"Toronto, ON",509
"Bells Corners, ON",2
"Forestville, QC",4
"Baie-trinite, QC",3
"Notre-dame-de-l'ile-perrot, QC",9
"Deux-Montagnes, QC",4
"Lachute, QC",30
"L'Île-des-Soeurs, QC",3
"Salaberry-de-Valleyfield, QC",104
