Expected_jobs,City,State
125,Electric City,Washington
165,Ronald,Washington
129,Nespelem Community,Washington
79,Amanda Park,Washington
1097,Clarkston Heights-Vineland,Washington
37308,Boulevard Park,Washington
2603,Big Lake,Washington
163,Boyds,Washington
30950,Parkwood,Washington
4312,Deer Park,Washington
405,Humptulips,Washington
36326,SeaTac,Washington
30858,Maple Valley,Washington
6162,Millwood,Washington
304,Point Roberts,Washington
490,Dixie,Washington
29505,East Port Orchard,Washington
177,Morton,Washington
2630,Alger,Washington
82,Kahlotus,Washington
25924,Fife Heights,Washington
15460,Cherry Grove,Washington
27029,Clearview,Washington
964,Greenwater,Washington
26129,Picnic Point,Washington
1498,Kendall,Washington
14199,Seabeck,Washington
7922,Startup,Washington
14834,Steilacoom,Washington
133,Lamont,Washington
2837,Bay View,Washington
223,Valley,Washington
7718,North Marysville,Washington
695,Brady,Washington
3680,May Creek,Washington
2901,Clear Lake,Washington
123,Keller,Washington
31120,Redmond,Washington
684,Ilwaco,Washington
30074,Mountlake Terrace,Washington
1407,Parker,Washington
492,Soap Lake,Washington
3053,Grand Mound,Washington
33789,Manchester,Washington
0,Prairie Heights,Washington
3496,Verlot,Washington
219,North Omak,Washington
1503,Naches,Washington
1350,Summitview,Washington
0,Clover Creek,Washington
900,Prosser,Washington
603,Naselle,Washington
767,Rock Island,Washington
503,Goldendale,Washington
27747,Maltby,Washington
2325,Oak Harbor,Washington
0,Tanglewilde,Washington
139,Endicott,Washington
27092,Mill Creek East,Washington
33081,Maple Heights-Lake Desire,Washington
16144,Midland,Washington
27062,Kingston,Washington
29988,Esperance,Washington
636,Grays River,Washington
12553,Sultan,Washington
3326,La Grande,Washington
97,Ritzville,Washington
246,Malott,Washington
159,Coulee City,Washington
482,Raymond,Washington
18916,Wollochet,Washington
401,Quincy,Washington
538,Walla Walla East,Washington
1213,Hamilton,Washington
29452,Woodinville,Washington
467,Bay Center,Washington
1352,Port Townsend,Washington
207,Riverside,Washington
29788,Woodway,Washington
0,Qui-nai-elt Village,Washington
593,Stevenson,Washington
584,Ocean Park,Washington
521,Port Angeles,Washington
14955,Bonney Lake,Washington
39,Oroville,Washington
542,Garrett,Washington
5993,Otis Orchards-East Farms,Washington
6428,Warm Beach,Washington
0,Twin Lakes,Washington
2774,Conway,Washington
524,College Place,Washington
25152,Eastmont,Washington
1478,Maple Falls,Washington
499,Ephrata,Washington
1520,Buena,Washington
5242,Tumwater,Washington
191,Desert Aire,Washington
0,Lake Holm,Washington
23819,Mukilteo,Washington
130,Twisp,Washington
20723,Lake Shore,Washington
26926,Keyport,Washington
10596,Lake Stevens,Washington
104,Starbuck,Washington
1362,Harrah,Washington
20338,Hansville,Washington
707,Carlsborg,Washington
9432,Yelm,Washington
2322,Fenwick Island,Delaware
2499,Delmar,Delaware
36442,Ardencroft,Delaware
2846,Farmington,Delaware
2669,Felton,Delaware
2779,Hartly,Delaware
14468,Pike Creek,Delaware
2572,Millville,Delaware
2393,Highland Acres,Delaware
2288,Rising Sun-Lebanon,Delaware
2643,Little Creek,Delaware
2337,Magnolia,Delaware
21560,Greenville,Delaware
18210,Elsmere,Delaware
2522,Harrington,Delaware
2796,Seaford,Delaware
2231,Dover Base Housing,Delaware
3867,Dagsboro,Delaware
3530,Milford,Delaware
2282,Bridgeville,Delaware
32553,Bellefonte,Delaware
3431,Smyrna,Delaware
15722,Wilmington Manor,Delaware
14205,New Castle,Delaware
2385,Bowers,Delaware
2798,Bethel,Delaware
3823,Selbyville,Delaware
2871,Houston,Delaware
2380,Woodside East,Delaware
2382,Viola,Delaware
2870,Dewey Beach,Delaware
16197,Newport,Delaware
2413,Bethany Beach,Delaware
32133,Edgemoor,Delaware
7063,Townsend,Delaware
3127,Georgetown,Delaware
2500,Kenton,Delaware
2749,Greenwood,Delaware
14860,North Star,Delaware
3627,Slaughter Beach,Delaware
8538,Middletown,Delaware
2795,Blades,Delaware
2682,Frederica,Delaware
2756,Rehoboth Beach,Delaware
2773,Milton,Delaware
2356,Woodside,Delaware
11192,Bear,Delaware
27934,Wilmington,Delaware
14777,Pike Creek Valley,Delaware
2484,Rodney Village,Delaware
2753,Henlopen Acres,Delaware
3895,Frankford,Delaware
4167,Millsboro,Delaware
10140,Glasgow,Delaware
3376,Clayton,Delaware
2732,Cheswold,Delaware
8253,Odessa,Delaware
2484,Kent Acres,Delaware
9324,St. Georges,Delaware
37378,Ardentown,Delaware
37031,Arden,Delaware
3189,Ellendale,Delaware
2695,Lewes,Delaware
2502,Laurel,Delaware
11525,Brookside,Delaware
2476,Wyoming,Delaware
38527,Claymont,Delaware
11771,Newark,Delaware
2912,Long Neck,Delaware
2323,Camden,Delaware
2866,Leipsic,Delaware
9924,Delaware City,Delaware
2421,Ocean View,Delaware
2414,South Bethany,Delaware
16359,Hockessin,Delaware
2521,Riverview,Delaware
2613,Dover,Delaware
70977,Washington,District of Columbia
267,Stone Lake,Wisconsin
225,Nelson,Wisconsin
417,Fennimore,Wisconsin
13337,Chenequa,Wisconsin
4034,Helenville,Wisconsin
17512,Tichigan,Wisconsin
2319,Kekoskee,Wisconsin
1195,Wonewoc,Wisconsin
2731,St. Peter,Wisconsin
379,Black River Falls,Wisconsin
4524,Shiocton,Wisconsin
350,Three Lakes,Wisconsin
2306,Waldo,Wisconsin
11952,North Prairie,Wisconsin
245,Mattoon,Wisconsin
1318,Almond,Wisconsin
955,New Auburn,Wisconsin
3189,Hustisford,Wisconsin
7739,Little Chute,Wisconsin
1466,Birnamwood,Wisconsin
7902,Lodi,Wisconsin
374,Whitehall,Wisconsin
